label,hu_moments
3,"[0.19114773178710842, 3.0013530881156823e-05, 0.004320641189605666, 8.448355063404058e-07, -4.236897736797852e-11, -3.693151303192006e-09, -2.846421198930766e-11]"
3,"[0.19141224139229315, 2.9306067984450457e-05, 0.004367009656985079, 8.250064289449219e-07, 4.891719032257762e-11, 4.457571587648654e-09, -7.701296935924194e-12]"
3,"[0.19066013542652288, 5.960424251310568e-05, 0.0042257861954760065, 2.4483660826268735e-06, 1.8805296180542187e-10, 1.6826866644252283e-08, -1.6326901772191378e-10]"
3,"[0.19165442970270496, 6.245067157025222e-05, 0.004398123919070713, 2.177249613754915e-06, 2.1189267572301376e-10, 1.7075239456204275e-08, 2.224483879855085e-11]"
3,"[0.19489767354411236, 0.0005137864320866297, 0.00480506689066875, 1.47757727557429e-05, -2.958014015908897e-09, -2.8564125525870145e-07, 2.5982317035804155e-09]"
3,"[0.19223394303861518, 7.255259151383488e-05, 0.004495114320297579, 2.10174004790436e-06, 1.789660357461966e-10, 1.594921199287282e-08, -9.850877532893847e-11]"
3,"[0.191373040826394, 1.0823081394222579e-05, 0.004367069569067595, 3.209311141211397e-07, 1.1346820825787438e-11, 9.752730268987937e-10, -3.9500101230808934e-12]"
2,"[0.16622441754303924, 1.4599215404903363e-06, 3.6930835498183564e-06, 1.0965746308831945e-08, -1.3853232978593324e-15, -1.3076584625919048e-11, -1.7177299781833784e-15]"
2,"[0.1660969035288478, 8.430344233929145e-07, 1.068237265327978e-05, 8.514215516342324e-08, -7.196446713934801e-14, -7.813216805965098e-11, -3.7608474044402646e-14]"
2,"[0.16622327304864004, 1.6060729827267524e-05, 7.577409461256695e-06, 6.294104869732768e-08, 2.4771930668222853e-14, 2.2360809790016513e-10, -3.5717588034753296e-14]"
2,"[0.16606101597532402, 2.4588777911623016e-05, 9.15489978202206e-06, 8.346444159147563e-08, 4.0056774695863326e-14, -3.829811358130682e-10, -6.097929541510403e-14]"
2,"[0.16617409077183531, 8.069236194068529e-07, 1.1044075768179102e-06, 2.1229280039363257e-08, 3.2006923380867716e-15, 1.1621232099741278e-11, -5.675969646418808e-16]"
3,"[0.19191694671567022, 5.224982770982229e-05, 0.004446199324523127, 1.462295958477105e-06, 1.1755852579472928e-10, 1.0564817772043607e-08, -9.085850102960806e-12]"
3,"[0.1919229473029954, 0.00010300339455229256, 0.004429955391367932, 3.206868717448561e-06, -3.7000170960143784e-10, -3.1243724759595155e-08, -9.589719813152935e-11]"
3,"[0.19136971128717897, 6.552372332445781e-05, 0.004345646145395773, 1.8172471808639181e-06, 1.5622910018963225e-10, 1.4065595310821544e-08, -4.08875866707714e-11]"
3,"[0.191662507658866, 0.00017850461392937602, 0.004356481405636264, 5.216025245207541e-06, -7.854566979936226e-10, -6.9482199350819e-08, -3.598152199541491e-11]"
3,"[0.19169867125240753, 0.00025769308425372707, 0.004332812161109811, 7.863434872321143e-06, 1.2313214309550528e-09, 1.0512421907647017e-07, 7.684836850361523e-10]"
3,"[0.1917482396054714, 9.522496763805408e-05, 0.004400614590289947, 2.704895096127055e-06, 2.652302634295567e-10, 2.224657330835575e-08, 1.2939153792748092e-10]"
3,"[0.19289923134847312, 0.0004338145088524269, 0.004480983312828469, 1.4377387720393834e-05, 3.355662005310056e-09, 2.6864131725396077e-07, 1.4341351053105407e-09]"
3,"[0.19255158045059606, 0.0001729542485923571, 0.004513752382527808, 4.767894229419604e-06, -6.677862894190213e-10, -6.119454096718354e-08, 2.0807817518443324e-10]"
